educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
VERDIGRIS,0.0969,78083.21,0.2658,0.2011,0.2502,0.0442,0.0459,0.2677,0.0165,0.0344,0.0023,0.6612,567.8333
IOWA CITY COMM SCHOOL DISTRICT,0.7125,78078.23,0.3933,0.5448,0.5656,0.206,0.2201,0.0036,0.0688,0.094,0.1619,0.6552,5497.333
PONDER ISD,0.0815,78065.91,0.2944,0.1763,0.2204,0.051,0.0407,0.0061,0.0046,0.1612,0.0175,0.8005,574.6667
GERMANTOWN SD 60,1.0944,78055.44,0.2534,0.1656,0.1805,0.0511,0.0665,0.0135,0,0.0281,0.0032,0.9522,160.3333
SUSSEX-WANTAGE REGIONAL,0.6186,78048.66,0.3436,0.2071,0.234,0.0358,0.0667,0,0.0112,0.0534,0.014,0.9211,865.6667
GOODHUE PUBLIC SCHOOL DISTRICT,0.6236,78035.59,0.352,0.1285,0.1856,0.0656,0.0553,0,0.0022,0.0663,0,0.9287,296.3333
AMHERST CENTRAL SCHOOL DISTRICT,1.1547,78011.93,0.3512,0.5726,0.575,0.0768,0.1085,0.0021,0.0537,0.033,0.1526,0.7412,1326
FLUVANNA CO PBLC SCHS,0.1323,78004.69,0.3386,0.2735,0.2456,0.0739,0.0768,0.0033,0.0052,0.036,0.1635,0.7557,1704.333
BETTENDORF COMM SCHOOL DISTRICT,1.0169,77999.88,0.3808,0.4406,0.3657,0.0788,0.0727,0.0046,0.0259,0.0663,0.0611,0.8292,2016.333
REGIONAL SCHOOL DISTRICT 11,0.3234,77999.88,0.325,0.2947,0.3333,0.0305,0.0266,0.0036,0.0037,0.0517,0.0221,0.9055,130.8333
CHISAGO LAKES SCHOOL DISTRICT,1.2295,77994.67,0.2998,0.2116,0.2355,0.0426,0.0706,0.0045,0.0144,0.0135,0.0075,0.9446,1579.833
KUTZTOWN AREA SD,0.8022,77990.95,0.3231,0.2975,0.297,0.1623,0.1587,0.0003,0.012,0.0239,0.0134,0.9479,686.5
BRANDON VALLEY SCHOOL DISTRICT 49-2,1.2006,77982.84,0.3322,0.3238,0.308,0.0624,0.064,0.0057,0.0122,0.0155,0.0205,0.9374,1541.333
GLOUCESTER,0.6053,77981.53,0.3582,0.3577,0.3177,0.0661,0.0896,0.0034,0.0146,0.0512,0.0128,0.8968,1442.667
MONTICELLO PUBLIC SCHOOL DISTRICT,1.0967,77968.63,0.3058,0.2348,0.2287,0.0415,0.0624,0.0025,0.0143,0.0561,0.0171,0.9012,1886.167
NORTH POCONO SD,0.8666,77949.32,0.3347,0.2253,0.2505,0.0537,0.0729,0.0008,0.0069,0.0216,0.0139,0.9562,1450.333
ITHACA CITY SCHOOL DISTRICT,0.8031,77923.27,0.3953,0.6277,0.6012,0.247,0.256,0.0051,0.1283,0.049,0.118,0.6777,2332
MEMPHIS COMMUNITY SCHOOLS,0.2135,77916.55,0.3191,0.1323,0.1037,0.0841,0.1187,0.0011,0.0029,0.0215,0.0269,0.9458,464.6667
WILMAR UNION ELEMENTARY,0.8195,77916.55,0.2993,0.2673,0.2702,0.0608,0.0697,0.0025,0,0.1961,0.0056,0.7833,125.5
WINDSOR LOCKS SCHOOL DISTRICT,0.1024,77916.55,0.3177,0.2296,0.1945,0.0387,0.0965,0.0028,0.088,0.0835,0.0983,0.7166,779.1667
OWASSO,0.6453,77897.61,0.3288,0.3138,0.299,0.0646,0.0837,0.1681,0.0299,0.0716,0.0392,0.683,4165.333
CLEARWATER,0.9905,77890.51,0.3133,0.1816,0.2597,0.0536,0.1181,0.0102,0.0041,0.0307,0.0039,0.9356,520.6667
CENTRAL CASS 17,0.2968,77874.88,0.2823,0.2425,0.3263,0.0313,0.0189,0.0161,0,0.0058,0.0092,0.9684,341.8333
FREMONT COUNTY SCHOOL DISTRICT # 6,0.0625,77857.03,0.3244,0.1705,0.1921,0.0572,0.055,0.1702,0.001,0.0284,0.0046,0.7387,165.6667
SHATTUCK,-0.4449,77857.03,0.3334,0.2425,0.204,0.1573,0.2045,0.0032,0.0152,0.1274,0.0041,0.8481,146.3333
HUGOTON PUBLIC SCHOOLS,-0.239,77849.88,0.2833,0.1084,0.1771,0.1249,0.1358,0.0015,0.0026,0.4488,0.0063,0.5258,451
STRATFORD BOROUGH,0.7265,77833.22,0.3705,0.3101,0.2741,0.0638,0.0751,0,0.0444,0.0558,0.1136,0.7753,533.1667
SOUTHERN BERKSHIRE,1.0264,77822.47,0.3105,0.357,0.3787,0.0755,0.076,0.0009,0.0066,0.0416,0.0027,0.898,359.6667
FALCON SCHOOL DISTRICT NO. 49 IN THE COUNTY OF EL PASO AND,0.9752,77818.19,0.3231,0.3827,0.351,0.0556,0.0616,0.0079,0.0391,0.172,0.0795,0.663,7042.667
GRASS LAKE COMMUNITY SCHOOLS,-0.247,77812.39,0.3174,0.2186,0.2786,0.0588,0.0914,0.0056,0.0024,0.0184,0.0064,0.9531,565
IPSWICH PUBLIC SCHOOL DISTRICT 22-6,0.6646,77812.38,0.3161,0.2838,0.2007,0.1011,0.1521,0.0096,0.0027,0.0125,0.0096,0.96,174.5
MANCHESTER TOWNSHIP,0.4864,77795.95,0.3191,0.166,0.1357,0.0634,0.0749,0.0036,0.0356,0.1248,0.1208,0.7051,1303.667
OAK LAWN-HOMETOWN SD 123,0.3069,77777.66,0.2882,0.2783,0.258,0.042,0.0697,0.003,0.0194,0.2695,0.0542,0.6305,2025.333
PARADISE VALLEY UNIFIED DISTRICT,0.4351,77775.45,0.3901,0.4005,0.3681,0.0864,0.0995,0.0108,0.0367,0.2563,0.0321,0.6381,16170
OSSINING UNION FREE SCHOOL DISTRICT,-0.1092,77757.24,0.4037,0.4098,0.4572,0.1415,0.1074,0.0002,0.0498,0.48,0.1416,0.3182,1870.667
PAW PAW CUSD 271,-0.2604,77749.89,0.3566,0.1062,0.24,0.0717,0.1486,0.0074,0,0.0813,0.0141,0.8715,113
PUTNAM SCHOOL DISTRICT,-0.5296,77749.89,0.3991,0.1647,0.164,0.1464,0.1282,0.0045,0.0101,0.0498,0.0139,0.8907,559
YUCAIPA-CALIMESA JOINT UNIFIED,-0.6691,77736.21,0.3807,0.2102,0.2157,0.0964,0.1139,0.0078,0.0219,0.3569,0.0146,0.5795,4473.667
ANAMOSA COMM SCHOOL DISTRICT,0.3454,77734.27,0.2818,0.1251,0.1858,0.0394,0.0447,0.0003,0.0124,0.0134,0.0095,0.9489,540.5
HIGHLAND CENTRAL SCHOOL DISTRICT,-0.2707,77734.27,0.3596,0.354,0.3116,0.0573,0.1124,0.0019,0.0424,0.0904,0.0793,0.7761,857.3333
SOUTHSIDE SCHOOL DISTRICT,-0.2633,77708.23,0.2526,0.2002,0.1915,0.1191,0.1098,0.0126,0.0249,0.0693,0.0037,0.7827,137
STOUGHTON AREA SCHOOL DISTRICT,0.9429,77705.12,0.2935,0.3162,0.2795,0.0556,0.0933,0.0031,0.0198,0.0277,0.0375,0.8981,1437.833
SHIOCTON SCHOOL DISTRICT,0.1621,77692.2,0.2495,0.0856,0.1571,0.0555,0.0632,0.0058,0.0005,0.0591,0,0.9341,341.3333
FENTON AREA PUBLIC SCHOOLS,0.5188,77678.47,0.3384,0.3509,0.3085,0.0473,0.0886,0.0023,0.0107,0.0168,0.0058,0.9517,1498.833
UNION CITY,-0.4765,77656.14,0.3214,0.0821,0.1954,0.1983,0.1894,0.0273,0.0122,0.0602,0,0.8526,122.6667
JONATHAN ALDER LOCAL,1.2038,77652.95,0.3285,0.2673,0.245,0.0837,0.0852,0.0023,0.0046,0.0213,0.0069,0.9517,1001.333
ALPINE DISTRICT,0.6814,77638.3,0.3362,0.4366,0.3085,0.0794,0.0931,0.0045,0.0163,0.0877,0.008,0.8626,34720
ONALASKA SCHOOL DISTRICT,0.9169,77627.02,0.3565,0.3606,0.3264,0.05,0.093,0.0075,0.0892,0.0212,0.0295,0.8306,1268.167
WEST POINT PBLC SCHS,0.7198,77624.9,0.3131,0.2346,0.2165,0.037,0.057,0.0182,0.0226,0.0351,0.0991,0.7719,360.3333
MARCELLUS CENTRAL SCHOOL DISTRICT,1.1012,77616.18,0.3358,0.3518,0.3555,0.0599,0.07,0.0024,0.0087,0.0037,0.0019,0.9782,880.5
PARK SCHOOL DISTRICT R-3,0.5772,77616.17,0.3403,0.4581,0.4144,0.0233,0.0687,0.011,0.0206,0.2175,0.0107,0.7259,497.1667
SECAUCUS,0.9826,77616.17,0.3275,0.4042,0.3926,0.0463,0.0848,0,0.2411,0.2467,0.0317,0.47,930.8333
PERKINS LOCAL,0.3301,77604.06,0.3739,0.2723,0.2011,0.0749,0.1125,0.0028,0.02,0.0166,0.0607,0.8498,1065.667
MENTOR EXEMPTED VILLAGE,1.2457,77588,0.3296,0.3026,0.2601,0.0565,0.0598,0.0006,0.015,0.0099,0.0184,0.9353,3670.167
SPIRIT LAKE COMM SCHOOL DISTRICT,1.0623,77564,0.3021,0.3023,0.2865,0.0748,0.0731,0.0011,0.0095,0.0323,0.0088,0.9381,564.6667
PELLA COMM SCHOOL DISTRICT,1.0918,77556.72,0.3129,0.3527,0.3613,0.04,0.0651,0.0005,0.035,0.0137,0.0173,0.9247,1021.167
