educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
MILLER 29-4,0.6136,58453.7,0.3138,0.1633,0.1989,0.119,0.1442,0,0,0.0052,0.0018,0.9886,198.6667
KNOX COUNTY SCHOOL DISTRICT,-0.0192,58453.39,0.4199,0.3633,0.3158,0.1219,0.1505,0.0024,0.02,0.0483,0.1417,0.7731,25991.67
BETHANY,1.0462,58443.6,0.3189,0.2537,0.2191,0.1301,0.1155,0.0729,0.0147,0.121,0.0502,0.7013,710.5
ROCKINGHAM CO PBLC SCHS,0.5579,58442.27,0.3713,0.2134,0.2244,0.0895,0.1132,0.0025,0.0084,0.1054,0.0177,0.8456,5287.5
SYLVAN UNION ELEMENTARY,-0.3839,58438.87,0.3961,0.2213,0.2142,0.1161,0.1188,0.0053,0.082,0.3644,0.047,0.4406,6064.833
FRAZEE-VERGAS PUBLIC SCHOOL DIST.,0.8698,58436.66,0.3148,0.1685,0.161,0.0992,0.1103,0.0798,0.013,0.0253,0.0044,0.8471,420.8333
NORTH MARION SD 15,-1.0557,58436.65,0.3351,0.1867,0.1496,0.0863,0.1,0.0105,0.0124,0.4161,0.0067,0.5356,892.3333
AMELIA CO PBLC SCHS,-0.2489,58427.73,0.2932,0.1286,0.1335,0.1134,0.0875,0.004,0.005,0.0319,0.281,0.6689,839.6667
BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,-0.2882,58427.73,0.3599,0.1446,0.1597,0.0781,0.1214,0.0008,0.0126,0.0226,0.0103,0.9495,387.1667
NORTH ANDREW CO. R-VI,0.4571,58427.73,0.2422,0.0746,0.1203,0.0816,0.1372,0,0,0.0037,0.0047,0.9915,176.6667
GARRETT COUNTY PUBLIC SCHOOLS,0.412,58411.86,0.3688,0.1768,0.1731,0.0965,0.1537,0.0008,0.0056,0.0048,0.0027,0.973,1827.333
MT. PLEASANT CITY SCHOOL DISTRICT,-0.0479,58403.42,0.426,0.3362,0.3289,0.3994,0.3938,0.1152,0.0264,0.0366,0.0385,0.7515,1708.167
BRADFORD CUSD 1,0.0827,58399.16,0.2937,0.1115,0.1698,0.1409,0.1851,0,0,0.0207,0.0013,0.9569,131.3333
CRANE R-III,-0.4499,58399.16,0.3811,0.1156,0.0709,0.1708,0.2439,0.0011,0,0.0031,0.0027,0.9837,309.6667
GIBBON PUBLIC SCHOOLS,-0.8355,58399.16,0.3228,0.2,0.1925,0.0305,0.1331,0.0007,0.0007,0.4118,0.0051,0.5787,267.5
OUACHITA SCHOOL DISTRICT,-0.0602,58399.16,0.3381,0.0944,0.1979,0.0809,0.1383,0.0242,0.003,0.0113,0.0164,0.9353,222.6667
THIEF RIVER FALLS SCHOOL DISTRICT,0.7833,58399.16,0.3644,0.1717,0.153,0.1209,0.1127,0.0248,0.0098,0.0544,0.0234,0.8775,888.5
FRANKTON-LAPEL COMMUNITY SCHS,0.6491,58386.26,0.3335,0.1706,0.1787,0.0795,0.1151,0.0005,0.0035,0.0187,0.0056,0.9408,1260.167
WESTMINSTER ELEMENTARY,-0.3354,58377.54,0.3913,0.2057,0.1928,0.1261,0.1488,0.0034,0.3993,0.4107,0.0096,0.1389,6298.5
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,0.3513,58374.16,0.3114,0.2859,0.2997,0.0803,0.0993,0,0.0107,0.0131,0.0162,0.9499,355.1667
DRUMMOND AREA SCHOOL DISTRICT,0.579,58374.16,0.3119,0.2301,0.2277,0.0848,0.0876,0.0125,0.0045,0.0138,0.0148,0.935,182.3333
HUMBOLDT,0.6215,58362.8,0.298,0.1362,0.1439,0.0513,0.1023,0.0024,0,0.0437,0.0128,0.9316,237.1667
MARSH VALLEY JOINT DISTRICT,0.4635,58362.8,0.2936,0.2121,0.2026,0.078,0.0807,0.0048,0.0011,0.0348,0.0062,0.9501,594
EAST ROCHESTER UNION FREE SCHOOL DISTRICT,0.2857,58332.51,0.3579,0.3792,0.2144,0.1029,0.1592,0.0075,0.0071,0.0478,0.0765,0.8548,488.6667
ALBERT LEA PUBLIC SCHOOL DISTRICT,0.3685,58332.5,0.3444,0.151,0.1358,0.0938,0.133,0.0024,0.0176,0.1866,0.0244,0.7607,1444.333
BIBB COUNTY,-1.2194,58332.5,0.3213,0.1021,0.0982,0.1004,0.1565,0.0007,0.0022,0.0145,0.2189,0.7622,1651.167
FRIEND PUBLIC SCHOOLS,-0.3864,58332.5,0.3305,0.1705,0.2012,0.0357,0.0517,0,0.0311,0.0461,0.0176,0.8979,121.5
OAK GROVE SD 68,0.3963,58332.5,0.271,0.128,0.1631,0.0204,0.0671,0.0006,0.0061,0.0127,0.0259,0.9223,275.3333
WILLIAMSON CENTRAL SCHOOL DISTRICT,0.53,58332.5,0.324,0.2766,0.2507,0.0782,0.0606,0.0041,0.0091,0.0705,0.0515,0.8518,494.6667
WISCONSIN DELLS SCHOOL DISTRICT,-0.0257,58332.5,0.3468,0.184,0.1734,0.0938,0.0968,0.0794,0.0056,0.1129,0.0131,0.7723,703.8333
EAST ALTON SD 13,-0.7873,58332.49,0.4174,0.0654,0.1092,0.2157,0.2925,0,0.004,0.007,0.0344,0.905,446.6667
KENNEWICK SCHOOL DISTRICT,-0.054,58302.74,0.4011,0.2521,0.2141,0.1359,0.1554,0.0086,0.0236,0.3177,0.0223,0.6066,7260.167
GLEN COVE CITY SCHOOL DISTRICT,0.2316,58291.86,0.4445,0.4024,0.3637,0.123,0.1398,0.0065,0.0433,0.463,0.1239,0.357,1363
GALETON AREA SD,0.0789,58284.89,0.3135,0.0913,0.1036,0.1545,0.1656,0.002,0.0046,0.0055,0.035,0.949,158
PARCHMENT SCHOOL DISTRICT,-0.4613,58280.42,0.3283,0.2489,0.2044,0.0758,0.1,0.0107,0.009,0.0391,0.0701,0.8076,744.6667
PLAIN LOCAL,0.9088,58268.41,0.4238,0.3094,0.241,0.0932,0.1223,0.0012,0.0076,0.0216,0.1275,0.7795,2689.667
SHELBY EASTERN SCHOOLS,0.1656,58262.33,0.307,0.1171,0.1428,0.0647,0.0678,0.0016,0.0022,0.0131,0.0021,0.9727,620.3333
RIVERVIEW COMMUNITY SCHOOL DISTRICT,0.16,58260.04,0.3403,0.2686,0.2268,0.0545,0.096,0.0031,0.0097,0.0587,0.0378,0.887,1246.167
WA-NEE COMMUNITY SCHOOLS,1.0265,58254.99,0.3405,0.1875,0.1662,0.0861,0.0954,0.0013,0.0081,0.0653,0.0113,0.876,1481.667
BRADY PUBLIC SCHOOLS,-0.015,58249.18,0.3435,0.1515,0.2026,0.0796,0.1176,0,0,0.0334,0.0129,0.9537,90.1667
CHESANING UNION SCHOOLS,0.4359,58249.18,0.3418,0.1199,0.1155,0.0734,0.1173,0.001,0.0079,0.058,0.0077,0.9189,759.5
MILLER CO. R-III,-1.2079,58249.18,0.2565,0.0873,0.0863,0.1554,0.1908,0,0.0035,0.0015,0.0092,0.9859,107.8333
CLAUDE ISD,-0.0426,58249.17,0.3715,0.2381,0.3022,0.0952,0.1287,0.0044,0,0.1006,0.0215,0.865,153.3333
HANCOCK PUBLIC SCHOOL DISTRICT,0.6226,58249.17,0.3359,0.2033,0.1753,0.0437,0.069,0.0053,0.0227,0.0281,0.0024,0.9402,127.5
NORTH HARRISON COM SCHOOL CORP,0.8576,58249.17,0.325,0.1442,0.15,0.0932,0.1122,0.0019,0.0008,0.0161,0.0043,0.9655,1049.833
GREENSVILLE CO PBLC SCHS,-0.3916,58234.47,0.3222,0.0319,0.0951,0.157,0.1808,0.0007,0.0085,0.0275,0.7035,0.2505,1172.167
JESUP COMM SCHOOL DISTRICT,-0.2002,58234.47,0.3427,0.0853,0.1465,0.0509,0.0733,0.002,0.0012,0.0163,0.0032,0.9668,427.1667
RUSHFORD-PETERSON PUBLIC SCHLS.,1.0676,58221.4,0.3292,0.1618,0.2259,0.0553,0.0699,0,0.0083,0.0189,0.0056,0.9638,298.6667
NORTH GIBSON SCHOOL CORP,0.4238,58213.47,0.3903,0.1586,0.1655,0.1205,0.1663,0.0005,0.0068,0.0132,0.0322,0.8628,936.5
RAPPAHANNOCK CO PBLC SCHS,-0.0469,58213.46,0.3694,0.3623,0.3848,0.0915,0.1137,0,0.0043,0.0445,0.0403,0.8849,429.6667
BUREAU VALLEY CUSD 340,0.3553,58207.51,0.3079,0.1415,0.1314,0.0901,0.1404,0.0004,0.0053,0.0218,0.001,0.9521,474
MORIARTY MUNICIPAL SCHOOLS,-0.1835,58206.73,0.3551,0.2829,0.2412,0.1028,0.1307,0.0207,0.0074,0.4075,0.0103,0.5398,1575.667
CROWDER,-0.8085,58199.18,0.3052,0.0872,0.1366,0.0941,0.0963,0.3488,0,0.0226,0.007,0.6008,196.8333
NAPLES CENTRAL SCHOOL DISTRICT,0.6345,58199.18,0.3769,0.3173,0.3477,0.0766,0.1284,0.0032,0.0212,0.0118,0.0165,0.9463,337.6667
BRECKENRIDGE COMMUNITY SCHOOLS,-0.0932,58181,0.3705,0.0784,0.1256,0.1045,0.1294,0,0.0004,0.0556,0.0097,0.9343,382.3333
CAMBRIDGE CUSD 227,0.1596,58165.85,0.3346,0.1769,0.2444,0.0791,0.1211,0.0084,0.0055,0.0101,0.0015,0.9656,212.6667
CRESTVIEW LOCAL,0.7353,58165.85,0.3253,0.1266,0.135,0.124,0.1784,0,0.002,0.0099,0.0088,0.9672,574.5
MILNOR 2,0.8396,58165.85,0.2873,0.1298,0.1652,0.1386,0.1381,0.0169,0.0061,0.0167,0.0104,0.9451,109.5
ESTACADA SD 108,-0.5362,58157.08,0.3535,0.1575,0.1617,0.1328,0.0713,0.0066,0.008,0.1173,0.008,0.8187,987.1667
KIEL AREA SCHOOL DISTRICT,0.8164,58153.03,0.3397,0.1812,0.177,0.0679,0.0924,0.0036,0.0067,0.0259,0.0075,0.9358,597.5
BOWLING GREEN CITY,1.1117,58151.36,0.4035,0.4279,0.3982,0.2454,0.3059,0.0009,0.0156,0.0655,0.0301,0.7971,1357.333
IDAHO FALLS DISTRICT,-0.0112,58149.87,0.4067,0.3186,0.2422,0.109,0.141,0.0078,0.0098,0.1884,0.0105,0.7662,4622.667
ALTO ISD,-0.1309,58142.04,0.4006,0.0434,0.1025,0.1758,0.1801,0,0.0065,0.2838,0.2595,0.4134,299.5
KILGORE ISD,-0.4425,58138.72,0.3652,0.2044,0.1903,0.0719,0.1424,0.0078,0.0116,0.2462,0.1812,0.5328,1711.667
GILL-MONTAGUE,0.261,58124.19,0.3801,0.2437,0.2784,0.1211,0.1821,0.0024,0.0083,0.0553,0.0163,0.8911,483.5
EDWARDS COUNTY CUSD 1,-0.1106,58124.18,0.3886,0.1183,0.1674,0.0793,0.0813,0,0.0073,0.0142,0.0146,0.9544,433.1667
GARDEN GROVE UNIFIED,-0.1705,58122.78,0.3823,0.2107,0.1865,0.1161,0.1359,0.0017,0.3331,0.5422,0.009,0.1032,22090.17
COLONEL CRAWFORD LOCAL,-0.0629,58106.33,0.2929,0.1068,0.0955,0.0343,0.0522,0,0.0108,0.0047,0.0039,0.9775,432
GEORGE-LITTLE ROCK COMM SCHOOL DISTRICT,0.1513,58099.19,0.2694,0.1603,0.1386,0.0476,0.0576,0.0008,0.0026,0.0154,0.0108,0.9526,209.1667
HARRISBURG CUSD 3,-0.7901,58094.43,0.4225,0.184,0.1497,0.1679,0.1888,0.0012,0.0177,0.0165,0.0475,0.8593,948.6667
GREENBUSH-MIDDLE RIVER SCHOOL DIST.,0.8781,58082.53,0.2847,0.1039,0.166,0.057,0.0901,0.0121,0.0008,0.0055,0.0157,0.9642,205.3333
MOUNTAIN EMPIRE UNIFIED,-1.4469,58079.19,0.4101,0.1499,0.1657,0.2057,0.1467,0.0636,0.0093,0.4425,0.0264,0.4393,713.8333
ALBIA COMM SCHOOL DISTRICT,0.1277,58076.12,0.3359,0.1038,0.1769,0.1199,0.1565,0.003,0.0039,0.0317,0.0069,0.9375,508.6667
NYSSA SD 26,-0.4145,58076.12,0.3679,0.0868,0.068,0.1349,0.1532,0.003,0.004,0.6366,0,0.319,550
JOSEPH BADGER LOCAL,0.4203,58076.11,0.3617,0.1119,0.1265,0.107,0.1282,0,0.0038,0.0019,0.0075,0.969,446.8333
MANITOWOC SCHOOL DISTRICT,-0.0808,58063.71,0.3591,0.2109,0.1856,0.074,0.1166,0.0072,0.1029,0.0902,0.0281,0.753,2226.833
MONTAGUE AREA PUBLIC SCHOOLS,-0.2335,58054.75,0.2974,0.1521,0.142,0.0911,0.1151,0.0131,0.0037,0.0692,0.012,0.894,666.6667
SPARTA AREA SCHOOL DISTRICT,-0.0284,58022.45,0.3347,0.1563,0.1816,0.1067,0.1523,0.0048,0.0116,0.0812,0.0164,0.8797,1061.667
SEDRO-WOOLLEY SCHOOL DISTRICT,-0.0571,58018.07,0.3539,0.1776,0.1597,0.1261,0.1347,0.0301,0.0105,0.1629,0.0085,0.7627,1861.667
BADGER PUBLIC SCHOOL DISTRICT,0.5835,57999.2,0.4083,0.1139,0.0947,0.0887,0.1263,0,0.0147,0.0029,0.0281,0.9543,113.1667
BELFAST CENTRAL SCHOOL DISTRICT,-0.2989,57999.2,0.3901,0.1339,0.2047,0.1691,0.1746,0,0,0.0125,0,0.984,153.6667
BLUE HILL SCHOOL DEPARTMENT,1.0851,57999.2,0.4087,0.3063,0.4062,0.1093,0.1089,0,0.0189,0.0106,0,0.9705,160.1667
CASTLEWOOD SCHOOL DISTRICT 28-1,0.3984,57999.2,0.4718,0.1174,0.1802,0.0877,0.1068,0.01,0.0015,0.0259,0,0.9627,116.3333
CROMWELL-WRIGHT PUBLIC SCHOOLS,0.8118,57999.2,0.2898,0.0799,0.1578,0.1226,0.1509,0.0223,0.0161,0,0.005,0.9566,134.3333
CUSTER COUNTY SCHOOL DISTRICT CONSOLIDATE 1,0.8448,57999.2,0.3297,0.3194,0.3075,0.1432,0.1856,0.0064,0.0158,0.0237,0.0076,0.9314,190.8333
HARMONY GROVE SCHOOL DISTRICT,-0.6332,57999.2,0.2946,0.1069,0.1027,0.1334,0.2006,0.0039,0.0054,0.027,0.0069,0.9498,504
HURLEY R-I,-0.2378,57999.2,0.2805,0.1071,0.178,0.132,0.171,0.0056,0,0.0042,0,0.9901,123.8333
IRAAN-SHEFFIELD ISD,-0.0532,57999.2,0.3259,0.201,0.1867,0.0272,0.0851,0.0156,0,0.5166,0.0203,0.442,181.6667
KOPPERL ISD,-0.5147,57999.2,0.3081,0.1107,0.109,0.0942,0.1613,0,0,0.1413,0.0114,0.842,104.6667
NEWCASTLE ISD,-0.7316,57999.2,0.3015,0.1863,0.1146,0.0969,0.1273,0,0,0.0974,0.0068,0.8887,87.5
ROCK VALLEY COMM SCHOOL DISTRICT,0.2476,57999.2,0.2913,0.1916,0.1599,0.0613,0.077,0.0005,0.0033,0.1884,0.0071,0.7917,308
SHARPSVILLE AREA SD,0.5117,57999.2,0.3104,0.2028,0.1953,0.067,0.0997,0.0008,0.0066,0.0064,0.035,0.9488,628
SOLVAY UNION FREE SCHOOL DISTRICT,-0.1399,57999.2,0.3354,0.2086,0.1743,0.1039,0.1053,0.0152,0.0066,0.0537,0.0316,0.8533,627.5
SOUTH DEARBORN COM SCHOOL CORP,0.3189,57999.2,0.3326,0.101,0.1034,0.0688,0.0955,0.0018,0.0032,0.006,0.0004,0.9734,1354.167
SWINK SCHOOL DISTRICT NO. 33 IN THE COUNTY OF OTERO AND ST,1.5667,57999.2,0.3119,0.2048,0.1623,0.1604,0.0794,0.0048,0.0557,0.2604,0.0154,0.652,173.3333
VALLEY CITY 2,0.9707,57999.2,0.3069,0.3133,0.2971,0.1187,0.1473,0.0195,0.0066,0.0115,0.016,0.938,476.6667
WALTON CENTRAL SCHOOL DISTRICT,-0.783,57999.2,0.3269,0.0805,0.1061,0.1564,0.1981,0.0008,0.0063,0.0184,0.0099,0.9643,452.1667
WATERFORD UNIFIED,-1.4672,57999.2,0.3297,0.1503,0.1031,0.205,0.2069,0.0072,0.0498,0.3717,0.0299,0.4878,1686.333
WEATHERSFIELD SCHOOL DISTRICT,0.4601,57999.2,0.3359,0.222,0.2843,0.0471,0.0492,0,0.0026,0.0037,0.0021,0.9915,141.3333
WOODLAND SCHOOL DISTRICT,0.5807,57962.16,0.3731,0.1879,0.1707,0.1473,0.1903,0.008,0.0089,0.1451,0.009,0.8114,984.3333
WATERTOWN SCHOOL DISTRICT,-0.0402,57953.75,0.3466,0.1821,0.2249,0.0884,0.0959,0.0032,0.0085,0.1331,0.0257,0.8173,1554.5
CLARION-LIMESTONE AREA SD,1.1142,57951.59,0.3607,0.1523,0.1627,0.1226,0.183,0,0.006,0.0126,0.0234,0.9562,420.8333
ZILLAH SCHOOL DISTRICT,-0.7441,57951.59,0.3485,0.1523,0.1625,0.0723,0.1109,0.0428,0.005,0.4521,0.004,0.4838,628.1667
WEATHERFORD ISD,0.3738,57951.01,0.3946,0.2323,0.2122,0.1049,0.1327,0.0066,0.0119,0.211,0.0259,0.7344,3464.5
RICE LAKE AREA SCHOOL DISTRICT,0.4774,57940.38,0.4053,0.199,0.1935,0.1089,0.1001,0.0042,0.011,0.0437,0.0074,0.9053,952.5
ALLEGHANY CO PBLC SCHS,0.1617,57915.88,0.3389,0.1342,0.1622,0.098,0.119,0.0022,0.0039,0.0153,0.0695,0.8908,1235
PLAINVIEW,1.0083,57915.88,0.3393,0.2822,0.3126,0.1089,0.1505,0.1176,0.0348,0.0483,0.0358,0.6994,661
CUT BANK ELEM,0.2011,57908.3,0.3022,0.1698,0.1945,0.0868,0.1597,0.3544,0.0024,0.018,0.001,0.5406,335.5
MADRID-WADDINGTON CENTRAL SCHOOL DISTRICT,-0.2062,57908.3,0.2818,0.1541,0.1964,0.088,0.1212,0.0031,0.0068,0.0057,0.0069,0.9769,318.3333
MARTIN PUBLIC SCHOOLS,-0.3978,57908.3,0.3342,0.0781,0.1545,0.0933,0.099,0.0006,0.0088,0.0583,0.0045,0.9143,264.3333
WESTON COUNTY SCHOOL DISTRICT #1,0.4352,57908.3,0.2932,0.1723,0.1983,0.0212,0.127,0.0327,0.0033,0.035,0.0066,0.9148,352
SAN LEANDRO UNIFIED,-1.497,57905.2,0.3831,0.2765,0.3057,0.0791,0.0975,0.0036,0.2245,0.4547,0.1568,0.1133,3944.5
HOPKINS PUBLIC SCHOOLS,0.6405,57902.44,0.3206,0.1014,0.1439,0.1134,0.1133,0.0088,0.0046,0.0193,0.0064,0.9538,700.6667
ROCKWELL-SWALEDALE COMM SCHOOL DISTRICT,-0.296,57899.21,0.3306,0.1372,0.1129,0.033,0.0275,0.0057,0,0.0092,0.0057,0.9759,291.6667
GRIFFITH PUBLIC SCHOOLS,0.3102,57893.95,0.3408,0.2086,0.1697,0.072,0.1145,0.0029,0.0052,0.189,0.1929,0.564,1150.833
SCHALLER-CRESTLAND COMM SCHOOL DISTRICT,-0.1816,57874.21,0.3292,0.1335,0.1857,0.0886,0.1228,0.0032,0.0007,0.1114,0.0091,0.8755,208.5
HASKELL,-1.0756,57856.36,0.3468,0.1205,0.1612,0.105,0.095,0.2953,0.0009,0.0432,0.1067,0.5526,385.6667
HOPEWELL-LOUDON LOCAL,0.8027,57856.36,0.3386,0.1547,0.1814,0.0263,0.0403,0.0019,0.0033,0.0387,0.0032,0.9183,414.1667
WEST CENTRAL CUSD 235,-0.0905,57856.36,0.3583,0.1483,0.1355,0.0969,0.1253,0.0032,0,0.0221,0.0024,0.9554,424
M S D WARREN COUNTY,0.3851,57849.21,0.3411,0.1129,0.1287,0.0773,0.0934,0,0,0.0084,0.0003,0.9797,545.8333
CLINTON COMMUNITY SCHOOLS,-0.0818,57845.37,0.3368,0.2114,0.2137,0.06,0.0764,0.0045,0.007,0.0089,0.004,0.9651,495.8333
JANESVILLE SCHOOL DISTRICT,0.3789,57844.04,0.4172,0.1889,0.2112,0.1214,0.1428,0.0032,0.0196,0.1091,0.0553,0.7798,4283.333
EASTERN LOCAL,-0.1748,57841.32,0.2878,0.073,0.1215,0.137,0.1591,0.0008,0.0093,0.0071,0.0029,0.9727,412.6667
ANTWERP LOCAL,1.0462,57832.55,0.3194,0.0721,0.1383,0.047,0.1065,0.0005,0.0035,0.0123,0.0069,0.9349,292.1667
DOUGLAS CO WEST COMMUNITY SCHS,0.5576,57832.55,0.3872,0.2845,0.2974,0.0801,0.1032,0.0168,0.0124,0.0647,0.0374,0.8601,285.6667
LINCOLN COUNTY SCHOOL DISTRICT #1,0.4559,57832.55,0.3027,0.1724,0.1573,0.0296,0.0871,0.0111,0.0012,0.0779,0.021,0.8833,270.8333
PROVO DISTRICT,0.6794,57821.8,0.3838,0.4246,0.3813,0.2899,0.3295,0.0117,0.0315,0.2642,0.0101,0.6528,6816
HAYWARD UNIFIED,-1.8774,57817.4,0.3882,0.2254,0.2473,0.1141,0.1389,0.0041,0.145,0.5854,0.1351,0.0771,10191.33
REAGAN COUNTY ISD,-1.6918,57817.4,0.3149,0.1099,0.09,0.091,0.1209,0.0004,0.0032,0.7438,0.0069,0.1641,368.8333
VALLEJO CITY UNIFIED,-1.6933,57800.27,0.409,0.2286,0.258,0.1309,0.1526,0.0058,0.199,0.3393,0.3075,0.0961,7191
HUTSONVILLE CUSD 1,-0.6805,57799.22,0.3196,0.1683,0.19,0.1375,0.1715,0,0,0.0029,0,0.9835,172.6667
OSAKIS PUBLIC SCHOOL DISTRICT,1.0918,57784.94,0.2976,0.1415,0.1506,0.0693,0.1036,0.0018,0.012,0.0132,0.0118,0.9571,366.1667
DIAMOND LAKE SD 76,-0.0311,57777,0.4345,0.352,0.3507,0.1215,0.1096,0.0049,0.0589,0.5619,0.0185,0.331,690.1667
EDEN CISD,-0.568,57777,0.3223,0.0754,0.1746,0.1231,0.2006,0,0,0.4954,0.0129,0.4917,116.1667
FOWLER UNIFIED,-1.2708,57777,0.4081,0.1392,0.1518,0.1946,0.2409,0.0033,0.089,0.7876,0.0097,0.1066,1095.833
GARNER-HAYFIELD COMM SCHOOL DISTRICT,0.42,57777,0.3017,0.2228,0.1792,0.1146,0.1208,0.0031,0.0014,0.0275,0.0137,0.9306,334
HARRISONVILLE R-IX,0.1485,57777,0.3612,0.1563,0.1727,0.1037,0.139,0.0102,0.0058,0.0259,0.0168,0.9158,1144.667
HORSESHOE BEND SCHOOL DISTRICT,-0.0727,57777,0.308,0.2226,0.1481,0.1124,0.1538,0.0125,0.0029,0.0753,0.0081,0.8996,137.3333
LATON JOINT UNIFIED,-2.0283,57777,0.3253,0.1409,0.1625,0.0758,0.1123,0,0,0.8189,0.004,0.0731,329.1667
TARKINGTON ISD,-0.4949,57777,0.3695,0.1286,0.1155,0.0931,0.1019,0.0051,0.001,0.0666,0.0092,0.9123,886.3333
COLONIAL SCHOOL DISTRICT,-0.567,57752.39,0.3479,0.1913,0.2014,0.0802,0.1136,0.0033,0.0252,0.1654,0.4808,0.3165,5780.333
PALESTINE CUSD 3,-0.8395,57749.23,0.3078,0.1234,0.129,0.0806,0.146,0,0.0009,0.0025,0.0018,0.9948,160.8333
SMOKY VALLEY,0.6775,57749.23,0.287,0.297,0.3049,0.0434,0.0502,0,0.0025,0.0373,0.008,0.9424,459.3333
TUPPER LAKE CENTRAL SCHOOL DISTRICT,-0.3668,57749.23,0.3198,0.1218,0.169,0.0969,0.0835,0.0038,0.0065,0.0068,0.0076,0.9704,371.8333
BLACK RIVER USD #39,0.1425,57749.22,0.3101,0.2344,0.2923,0.0774,0.1022,0,0.0271,0,0.0025,0.9671,59.1667
RICH HILL R-IV,-0.8243,57749.22,0.3775,0.1565,0.1173,0.1475,0.1871,0.0077,0.0024,0.0097,0.0057,0.9707,196.1667
NORTH ST. FRANCOIS CO. R-I,0.3789,57737.32,0.3548,0.1149,0.156,0.1119,0.142,0.0022,0.0049,0.011,0.0132,0.9656,1440.667
JONESVILLE COMMUNITY SCHOOLS,-0.4284,57726.5,0.3471,0.1276,0.1485,0.1243,0.1578,0.0063,0.006,0.0245,0.0095,0.9532,645.8333
POLO R-VII,-0.2293,57713.51,0.276,0.1434,0.162,0.0675,0.0875,0.0018,0.0018,0.0085,0.0018,0.986,170.1667
GARRETT-KEYSER-BUTLER COM,0.1796,57691.54,0.3031,0.141,0.1457,0.0437,0.0788,0.0031,0.0054,0.0321,0.0027,0.9226,802.1667
HARTSELLE CITY,0.5376,57691.54,0.3528,0.2276,0.2198,0.1264,0.1161,0.0041,0.0077,0.0259,0.0489,0.9099,1388.5
RSU 01 - LOWER KENNEBEC REGION SCHOOL UNIT,0.4595,57691.54,0.3694,0.2571,0.2997,0.0948,0.1502,0.0045,0.0123,0.0137,0.0266,0.9305,933.3333
CHADRON PUBLIC SCHOOLS,0.6684,57683.44,0.3462,0.3767,0.4271,0.2072,0.273,0.0779,0.0217,0.0368,0.0175,0.7892,406.5
WATKINS GLEN CENTRAL SCHOOL DISTRICT,-0.2996,57683.44,0.3113,0.1695,0.2046,0.0372,0.0609,0.0069,0.0094,0.0228,0.0188,0.93,533.1667
UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,0.2769,57680.39,0.4047,0.3016,0.2103,0.1117,0.1188,0.0022,0.026,0.0521,0.0737,0.8067,1834.667
CENTRAL ISD,0.2283,57677.8,0.3267,0.1213,0.1682,0.1147,0.1936,0.0047,0.0023,0.1508,0.0543,0.7802,711.3333
CCSD 62,0.2759,57671.65,0.3661,0.2982,0.2674,0.0754,0.0908,0.0017,0.1087,0.3751,0.044,0.4541,3026
BENTON SCHOOL DISTRICT,1.6738,57665.9,0.3425,0.1113,0.1927,0.1693,0.1296,0.0032,0,0.0162,0.0064,0.937,103
BIG BAY DE NOC SCHOOL DISTRICT,-1.226,57665.9,0.3081,0.2021,0.2257,0.0887,0.1183,0.1038,0.0014,0.0015,0,0.7859,105.1667
COMMUNITY R-VI,-1.116,57665.9,0.2088,0.0741,0.1049,0.0531,0.0815,0,0.004,0,0.0181,0.9779,119.1667
DILLER-ODELL PUBLIC SCHOOLS,0.4931,57665.9,0.3361,0.1508,0.1582,0.0888,0.12,0.0062,0,0.0232,0,0.9705,112
GLENVILLE-EMMONS SCHOOL DISTRICT,0.1029,57665.9,0.2888,0.0722,0.137,0.0691,0.0768,0,0.0023,0.028,0.0107,0.9589,122.5
GLIDDEN-RALSTON COMM SCHOOL DISTRICT,0.5184,57665.9,0.3312,0.1731,0.1563,0.0482,0.0629,0,0.0032,0.0189,0.001,0.9769,150.5
LEROY PUBLIC SCHOOL DISTRICT,-0.1347,57665.9,0.3318,0.0965,0.1073,0.0821,0.1251,0.0012,0.0024,0.0425,0.0028,0.9407,129.5
PEPIN AREA SCHOOL DISTRICT,-0.0539,57665.9,0.341,0.1513,0.1965,0.0763,0.0716,0,0.0016,0.0057,0.0084,0.9765,91.8333
CENTRAL LOCAL,0.9718,57646.29,0.3533,0.1457,0.1656,0.0606,0.0918,0,0.0025,0.0259,0.0019,0.9569,536.1667
FARMINGTON R-VII,1.1042,57646.29,0.3701,0.1396,0.2023,0.1154,0.1339,0.0012,0.0123,0.0138,0.0216,0.9511,1697
CAMBRIDGE CENTRAL SCHOOL DISTRICT,0.6801,57635.6,0.3763,0.1906,0.2516,0.1298,0.1002,0.0008,0.0115,0.008,0.0176,0.9609,418.5
IROQUOIS WEST CUSD 10,0.1322,57635.6,0.3589,0.0932,0.1183,0.0715,0.0976,0.0004,0.0012,0.3258,0.0032,0.6175,422
OVERTON ISD,-0.8654,57635.6,0.3086,0.0514,0.1182,0.09,0.1266,0.0069,0.0007,0.0482,0.1377,0.7895,241.5
