educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
ALGOMA SCHOOL DISTRICT,0.2157,56713.61,0.0258,0.8917,238
ALGONA COMM SCHOOL DISTRICT,0.3723,68570.86,0.0086,0.9209,558.5
ALGONAC COMMUNITY SCHOOL DISTRICT,0.217,71717.97,0.0059,0.949,868.6667
ALHAMBRA ELEMENTARY DISTRICT,-1.1589,30244.21,0.0732,0.0759,9972
ALHAMBRA UNIFIED,0.2754,50753.35,0.008,0.0377,7083.833
ALICE ISD,-1.1389,38305.79,0.0034,0.0586,2418.5
ALIEF ISD,-0.4655,35391.23,0.3218,0.0327,21024.33
ALIQUIPPA SD,-1.3607,23124.38,0.7458,0.2128,545.6667
ALISAL UNION,-2.0688,35669.51,0.0067,0.0192,4301
ALLAMAKEE COMM SCHOOL DISTRICT,0.5384,49867.45,0.0049,0.9721,503.3333
ALLAMUCHY TOWNSHIP,1.341,112499.5,0.0181,0.8851,274.3333
ALLEGAN PUBLIC SCHOOLS,-0.2938,53946.98,0.0317,0.9037,1220.667
ALLEGANY COUNTY PUBLIC SCHOOLS,0.3244,50523.76,0.0442,0.9035,3908.5
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,0.1381,54062.09,0.0155,0.9252,558.6667
ALLEGHANY CO PBLC SCHS,0.1617,57915.88,0.0695,0.8908,1235
ALLEGHANY COUNTY SCHOOLS,0.5573,38392.18,0.0175,0.8259,686
ALLEGHENY VALLEY SD,0.6483,54045.05,0.0181,0.9679,473.8333
ALLEGHENY-CLARION VALLEY SD,0.0376,53823.15,0.0102,0.9783,344.6667
ALLEN,-1.2622,51499.85,0.0087,0.6013,191.1667
ALLEN CO,0.2726,41315.53,0.0087,0.9541,1361.333
ALLEN CONSOLIDATED SCHOOLS,0.3591,60749.95,0.031,0.9207,107.3333
ALLEN EAST LOCAL,0.7232,72705.04,0.0088,0.9656,511.5
ALLEN ISD,1.8311,103618.3,0.1039,0.5886,8839.833
ALLEN PARISH,-0.2844,43231.06,0.2207,0.7357,1910.333
ALLEN PARK PUBLIC SCHOOLS,-0.1151,68185.17,0.0159,0.881,1717.667
ALLENDALE,2.7507,192306.8,0.0033,0.8338,647.5
ALLENDALE 01,-3.1985,22499.5,0.9489,0.0252,653.6667
ALLENDALE PUBLIC SCHOOL DISTRICT,0.6,71249.25,0.0183,0.8521,1031.167
ALLENSTOWN SCHOOL DISTRICT,-0.0427,57599.24,0.0195,0.9116,277.3333
ALLENTOWN CITY SD,-1.392,33563.39,0.1692,0.1412,8359.333
ALLIANCE CITY,-0.4234,40099.98,0.1387,0.7014,1298
ALLIANCE PUBLIC SCHOOLS,-0.9382,53683.84,0.0132,0.6711,662.8333
ALLISON-BRISTOW COMM SCHOOL DISTRICT,0.5659,73999.06,0.0027,0.9629,245.6667
ALLOWAY TOWNSHIP,1.0507,87307.2,0.0477,0.9089,275.5
ALMA CENTER SCHOOL DISTRICT,0.0133,52833.05,0.0052,0.845,279.6667
ALMA PUBLIC SCHOOLS,0.9417,55666.1,0.0055,0.9311,122.1667
ALMA PUBLIC SCHOOLS,-0.2217,46666.34,0.0158,0.8685,991.8333
ALMA SCHOOL DISTRICT,-0.0951,69249.38,0.0029,0.9702,112.5
ALMA SCHOOL DISTRICT,-0.4073,50384.58,0.0163,0.9254,1588
ALMOND-BANCROFT SCHOOL DISTRICT,0.1285,58999.1,0,0.7902,195.6667
ALMONT COMMUNITY SCHOOLS,0.2095,77049.1,0.0031,0.942,739.8333
ALPAUGH UNIFIED,-2.512,28665.93,0.0115,0.0695,153
ALPENA PUBLIC SCHOOLS,-0.4803,53695.28,0.0063,0.9631,1921.5
ALPENA SCHOOL DISTRICT,-0.1914,52642.59,0.0053,0.9521,257.3333
ALPHA,0.6866,56749.32,0.0105,0.8207,174.1667
ALPINE,2.7156,216153.8,0.0081,0.7367,99.1667
ALPINE DISTRICT,0.6814,77638.3,0.008,0.8626,34720
ALPINE ISD,-0.3974,69203.93,0.0097,0.3257,468.3333
ALPINE UNION ELEMENTARY,0.078,96194.8,0.0073,0.7239,1386.833
ALSIP-HAZLGRN-OAKLWN SD 126,-0.2281,68704.77,0.116,0.5582,1033.5
ALTA COMM SCHOOL DISTRICT,-0.0173,65166.32,0.0164,0.7532,168.1667
ALTA LOMA ELEMENTARY,0.25,100803.5,0.0841,0.4573,4406
ALTA VISTA ELEMENTARY,-2.7752,22856.57,0.0021,0.1794,327.3333
ALTAMONT CUSD 10,0.2226,62699.82,0.0085,0.9752,319.5
ALTAR VALLEY ELEMENTARY DISTRICT,-1.4318,33749.25,0.0106,0.4041,450.6667
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,-0.596,46249.75,0.0053,0.9777,597
ALTO ISD,-0.1309,58142.04,0.2595,0.4134,299.5
ALTON CUSD 11,-1.078,42438.54,0.3118,0.5848,2778
ALTON R-IV,-0.4098,37721.68,0.0061,0.9747,330
ALTON SCHOOL DISTRICT,0.4527,68570.86,0.0022,0.9624,382.3333
ALTOONA AREA SD,0.3309,46785.36,0.0693,0.9155,3663.333
ALTOONA SCHOOL DISTRICT,0.5869,56666,0.0251,0.8735,618.3333
ALTUS,0.0011,46874.63,0.1114,0.4652,1637.5
ALUM ROCK UNION ELEMENTARY,-1.2996,55594.68,0.0198,0.0222,8824.167
ALVA,-0.2965,56770.75,0.0262,0.8455,396.5
ALVARADO ISD,-0.5875,49999,0.0342,0.661,1503.5
ALVIEW-DAIRYLAND UNION ELEMENTARY,-0.2956,27699.46,0.0021,0.3875,240
ALVIN ISD,0.2381,68605.98,0.1368,0.3369,8029.167
ALVORD ISD,0.6192,59082.42,0.0127,0.8581,327.1667
ALVORD UNIFIED,-1.1027,53084.8,0.0439,0.1168,9214.167
ALWOOD CUSD 225,0.3498,65999.6,0.0046,0.948,176.5
AMADOR COUNTY UNIFIED,-0.6604,73592.84,0.0043,0.7186,1714.833
AMANDA-CLEARCREEK LOCAL,0.4148,64090.64,0.0059,0.9728,790.6667
AMARILLO ISD,-0.0398,44648.46,0.0994,0.39,14147.83
AMBER-POCASSET,0.4206,60999.93,0.0008,0.8806,194.1667
AMBOY CUSD 272,0.3619,64499.7,0.0026,0.9473,357.6667
AMBRIDGE AREA SD,0.6447,60409.06,0.137,0.8247,1299.333
AMELIA CO PBLC SCHS,-0.2489,58427.73,0.281,0.6689,839.6667
AMERICAN FALLS JOINT DISTRICT,-0.4409,43054.95,0.0013,0.5181,653.5
AMERICAN UNION ELEMENTARY,-1.3033,43499.3,0.0134,0.2875,221
AMERY SCHOOL DISTRICT,0.8137,66827.13,0.0093,0.9402,698
AMES COMM SCHOOL DISTRICT,1.6225,79368.76,0.0965,0.7138,1872
AMESBURY,1.3553,92671.7,0.0081,0.9205,1099.833
AMHERST,1.8412,87499.5,0.0834,0.5251,712.8333
AMHERST CENTRAL SCHOOL DISTRICT,1.1547,78011.93,0.1526,0.7412,1326
AMHERST CO PBLC SCHS,-0.1376,55283.56,0.2399,0.6894,1999.333
AMHERST EXEMPTED VILLAGE,1.3365,76121.75,0.0224,0.808,1912.5
AMHERST PUBLIC SCHOOLS,0.8308,75833.3,0.0015,0.9833,131
AMHERST SCHOOL DISTRICT,2.0031,145832.5,0.01,0.9229,1061.667
AMHERST-PELHAM,1.9048,89322.34,0.0608,0.6172,484
AMITE CO SCHOOL DIST,-2.5022,18838.52,0.8109,0.1741,512.6667
AMITY SD 4J,-0.766,56332.7,0.0044,0.8052,387.8333
AMITYVILLE UNION FREE SCHOOL DISTRICT,-1.2486,55191.79,0.5536,0.0701,1246.5
AMORY SCHOOL DIST,-0.1936,38749.25,0.3368,0.6485,839.1667
AMPHITHEATER UNIFIED DISTRICT,0.1981,55260.34,0.0491,0.5022,7675.5
AMSTERDAM CITY SCHOOL DISTRICT,-1.3968,47499.5,0.0577,0.5523,1629.667
AMSTERDAM ELEM,1.3698,86499.54,0.0019,0.9282,77.8333
ANACONDA ELEM,-0.1151,67384.13,0.0102,0.9302,494.3333
ANACORTES SCHOOL DISTRICT,1.3361,73234.41,0.0166,0.8538,1217.333
ANADARKO,-1.8625,39999,0.0378,0.1884,854.6667
ANAHEIM CITY,-1.3288,44816.11,0.0167,0.0512,10936
ANAHEIM UNION HIGH,-1.0372,54093.07,0.0269,0.1413,10468.83
ANAHUAC ISD,-0.0932,43749.25,0.1662,0.5261,574.6667
ANAMOSA COMM SCHOOL DISTRICT,0.3454,77734.27,0.0095,0.9489,540.5
ANCHOR BAY SCHOOL DISTRICT,0.1626,86752.25,0.0333,0.9111,2923
ANCHORAGE IND,2.5686,152727.2,0.0006,0.9249,257.8333
ANCHORAGE SCHOOL DISTRICT,-0.1719,80728.38,0.0629,0.4552,22133.17
ANDALUSIA CITY,-0.0621,29771.77,0.3406,0.6239,807.5
ANDERSON,-0.3336,54213.86,0.0158,0.6986,145.8333
