educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
HAXTUN SCHOOL DISTRICT NO. RE-2J,0.7415,63499.77,0.0095,0.8819,130
HAYDEN SCHOOL DISTRICT NO. RE 1,0.6854,65499.63,0.0127,0.8399,171
HAYFIELD PUBLIC SCHOOL DISTRICT,0.8554,68086.41,0.0127,0.9097,354.8333
HAYS,1.4015,68124.46,0.012,0.8601,1294.167
HAYS CISD,-0.2134,68052.09,0.0351,0.3421,7187.5
HAYS-LODGE POLE K-12 SCHLS,-2.0463,21874.63,0,0,75
HAYSVILLE,0.1185,56022.13,0.0157,0.7654,2238
HAYTI R-II,-0.6998,22749.45,0.7029,0.2966,366.3333
HAYWARD COMMUNITY SCHOOL DISTRICT,0.0785,41345.88,0.0068,0.6985,812.5
HAYWARD UNIFIED,-1.8774,57817.4,0.1351,0.0771,10191.33
HAYWOOD COUNTY SCHOOL DISTRICT,-1.6585,29999,0.623,0.3091,1550.667
HAYWOOD COUNTY SCHOOLS,0.6431,53499.65,0.0159,0.8972,3573.667
HAZEL CREST SD 152-5,-1.3639,35624.88,0.9009,0.0139,648.8333
HAZEL PARK CITY SCHOOL DISTRICT,-1.6324,39165.84,0.2618,0.7023,1626.833
HAZELWOOD,-0.6826,55366.81,0.7161,0.2505,8435.333
HAZEN 3,0.7524,71699.22,0.0143,0.9345,253.8333
HAZEN SCHOOL DISTRICT,-0.8574,47399.52,0.2808,0.7115,300.3333
HAZEN UHSD #26,-0.5671,67070.95,0.0282,0.9379,121.5
HAZLEHURST CITY SCHOOL DISTRICT,-2.7761,35555.45,0.9473,0.0168,676.8333
HAZLET TOWNSHIP,1.0312,102620.4,0.0165,0.8684,1451.833
HAZLETON AREA SD,-0.0242,47781.13,0.0236,0.6001,4688
HEALDSBURG UNIFIED,-1.3868,59472.74,0.0082,0.3049,788.8333
HEARD COUNTY,-0.1347,41153.61,0.0979,0.8386,937
HEARNE ISD,-1.8829,24530.34,0.4755,0.1076,417.5
HEARTLAND COMMUNITY SCHOOLS,0.4788,49899.02,0,0.9361,130.5
HEATH CITY,0.6543,47499.5,0.0289,0.8841,819.6667
HEAVENER,-0.7291,29499.1,0.0019,0.3007,441.5
HEBER ELEMENTARY,-0.8681,51176.35,0.0011,0.0041,749.3333
HEBER SPRINGS SCHOOL DISTRICT,0.1881,34530.34,0.0067,0.9442,823.8333
HEBRON SCHOOL DISTRICT,2.0332,109999.6,0.0062,0.9498,628.5
HECTOR SCHOOL DISTRICT,0.2953,34641.93,0.0006,0.9645,286.5
HELENA ELEM,0.3393,64999.67,0.0148,0.8987,3355.333
HELENA FLATS ELEM,0.4226,65699.62,0.0011,0.952,146
HELENA/ W.HELENA SCHOOL DIST.,-1.5896,23628.31,0.9497,0.0373,1277.833
HELIX SD 1,0.9706,70999.27,0.0052,0.9201,91.6667
HELLGATE ELEM,1.2222,74249.05,0.008,0.8579,852.5
HEMET UNIFIED,-1.2274,48295.8,0.0756,0.3606,9946.833
HEMINGFORD PUBLIC SCHOOLS,0.9825,44099.18,0.0021,0.9379,172.5
HEMLOCK PUBLIC SCHOOL DISTRICT,-0.0678,76857.07,0.0023,0.9551,556.1667
HEMPFIELD  SD,1.4798,82429.77,0.0466,0.7647,3216.667
HEMPFIELD AREA SD,0.9837,71933.98,0.0201,0.9522,2842.833
HEMPHILL ISD,-0.3412,51176.35,0.1046,0.7762,422.8333
HEMPSTEAD ISD,-0.8216,34116.82,0.264,0.204,655.1667
HEMPSTEAD UNION FREE SCHOOL DISTRICT,-1.5091,44516.14,0.4117,0.01,2780.5
HENDERSON COUNTY,0.6163,50963.76,0.0947,0.8375,3141.333
HENDERSON COUNTY SCHOOL DIST,0.0378,45833.16,0.0536,0.9199,1574.333
HENDERSON COUNTY SCHOOLS,0.8019,55389.7,0.0543,0.7242,6376.167
HENDERSON ISD,-0.1218,50799.92,0.1955,0.5358,1493.833
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,0.8463,144374.2,0.0485,0.7175,1196
HENDRICKS PUBLIC SCHOOL DISTRICT,1.3568,50666.6,0,0.9857,61
HENDRY,-0.5587,32122.86,0.1533,0.2381,3065.333
HENNESSEY,-0.6718,50952.29,0.0033,0.4895,353.3333
HENNING PUBLIC SCHOOL DISTRICT,1.0849,54749.53,0.002,0.9798,184
HENRICO CO PBLC SCHS,0.4988,69071.77,0.3651,0.4509,22130.67
HENRIETTA ISD,0.4591,50454.5,0.0117,0.8769,417.5
HENRY CO PBLC SCHS,0.3014,39783.52,0.2171,0.6334,3290.667
HENRY CO. R-I,-0.3453,56249.38,0.0092,0.9838,325.3333
HENRY COUNTY,-0.1479,70878.25,0.458,0.3983,18847.83
HENRY COUNTY,-0.305,48699.26,0.0202,0.9333,1010.5
HENRY COUNTY,-1.4735,37187.06,0.3511,0.6062,1303.167
HENRY COUNTY SCHOOL DISTRICT,-0.1615,44106.32,0.0285,0.9458,1134
HENRY HUDSON REGIONAL SCH,0.9283,83571.09,0.0389,0.8928,117.5
HENRY-SENACHWINE CUSD 5,0.3451,80156.05,0.0093,0.9539,251.8333
HENRYETTA,-0.8434,47655.72,0.0063,0.6084,553
HEREFORD ISD,-1.1754,44735.89,0.0078,0.1351,1799.667
HERINGTON,1.0411,43499.3,0.0104,0.8697,202.8333
HERITAGE CUSD 8,-0.1197,73070.56,0.0068,0.9579,243.6667
HERKIMER CENTRAL SCHOOL DISTRICT,-0.0686,51444.3,0.0221,0.9257,513.1667
HERMANTOWN PUBLIC SCHOOL DISTRICT,0.8376,81203.45,0.0113,0.9392,958.1667
HERMISTON SD 8,-0.5963,49165.83,0.0078,0.5218,2366.333
HERMITAGE SCHOOL DISTRICT,-1.3609,41874.63,0.1654,0.5465,207.3333
HERMITAGE SD,1.3715,73124.13,0.086,0.8675,948.6667
HERMON SCHOOL DEPARTMENT,1.0017,80859.14,0.0164,0.957,414.3333
HERMON-DEKALB CENTRAL SCHOOL DISTRICT,-0.4376,44749.05,0.025,0.9571,166.8333
HERMOSA BEACH CITY ELEMENTARY,1.6359,169341.7,0.0104,0.7467,836.1667
HERNANDO,0.129,50778.91,0.0705,0.7229,10434.67
HERON LAKE-OKABENA SCHOOL DISTRICT,-0.3426,64499.7,0,0.8258,139.1667
HERRICKS UNION FREE SCHOOL DISTRICT,2.1745,124925.5,0.0049,0.405,1837.167
HERRIN CUSD 4,-0.6616,45624.88,0.0374,0.896,1077.167
HERSCHER CUSD 2,0.4878,87455.64,0.0062,0.942,883.5
HERSHEY PUBLIC SCHOOLS,0.0233,69749.35,0.0097,0.9104,236
HERTFORD COUNTY SCHOOLS,-1.2806,30555.44,0.8007,0.153,1414.333
HESPERIA COMMUNITY SCHOOLS,-0.6522,41666.33,0.003,0.9362,496
HESPERIA UNIFIED,-1.1914,51400.83,0.0807,0.2836,10388.83
HESSTON,1.1507,69374.38,0.0149,0.8367,392
HETTINGER 13,0.9683,46199.76,0.0412,0.9053,117.8333
HEUVELTON CENTRAL SCHOOL DISTRICT,-0.5006,47187.06,0.0183,0.9621,229.6667
HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,1.3146,112442.7,0.0553,0.7185,1328
HEYWORTH CUSD 4,0.5534,82999.68,0.0034,0.9653,432
HIAWATHA,1.0178,37499.5,0.0353,0.8055,382.3333
HIAWATHA CUSD 426,-0.1994,66345.73,0.0088,0.8471,265.8333
HIBBING PUBLIC SCHOOL DISTRICT,0.6433,38268.58,0.0269,0.9184,1116.333
HICKMAN COMMUNITY CHARTER,0.1086,50199.98,0.0207,0.7157,749.5
HICKMAN COUNTY,-0.3322,47499.5,0.0877,0.8612,345.5
HICKMAN COUNTY SCHOOL DISTRICT,-0.6161,50919.45,0.0228,0.9454,1705.667
HICKMAN MILLS C-1,-1.5433,39499.1,0.7926,0.1096,3030.5
HICKORY CITY SCHOOLS,0.1936,39654.24,0.2433,0.4715,2087.333
HICKORY CO. R-I,1.0469,49130.75,0.012,0.9498,319.5
HICKSVILLE EXEMPTED VILLAGE,1.0254,51833.15,0.0008,0.914,449.1667
HICKSVILLE UNION FREE SCHOOL DISTRICT,0.8633,96614.18,0.0309,0.4583,2406.167
HICO ISD,0.2238,46713.94,0,0.7545,254.6667
HIDALGO ISD,-1.2425,34699.06,0.0017,0.0021,1391.833
HIGBEE R-VIII,-0.1743,33166.03,0,0.9862,109.1667
HIGH BRIDGE BOROUGH,1.2335,95832.5,0.0301,0.8483,248
HIGH MOUNT SD 116,-0.027,25192.27,0.3127,0.5904,262.8333
HIGH PLAINS COMMUNITY SCHOOLS,-0.2029,45624.88,0.0032,0.9389,109.1667
HIGHGATE SCHOOL DISTRICT,-0.3844,48124.38,0.007,0.67,169.3333
HIGHLAND CENTRAL SCHOOL DISTRICT,-0.2707,77734.27,0.0793,0.7761,857.3333
HIGHLAND COMM SCHOOL DISTRICT,-0.517,81447.11,0.02,0.9005,316.6667
HIGHLAND CUSD 5,0.7619,75724.61,0.0034,0.9522,1331.833
HIGHLAND FALLS CENTRAL SCHOOL DISTRICT,-0.6017,84326.55,0.1405,0.5351,358.8333
HIGHLAND JOINT DISTRICT,-1.4115,36599.68,0.0019,0.908,82.3333
HIGHLAND LOCAL,1.4952,105084.5,0.0037,0.9654,1528.667
HIGHLAND LOCAL,0.8558,49374.13,0.0042,0.9654,862.8333
HIGHLAND PARK,1.6851,97499.09,0.1166,0.4342,640.3333
HIGHLAND PARK CITY SCHOOLS,-2.6116,20454.45,0.9977,0.0006,1176
HIGHLAND PARK ISD,3.0119,205456.9,0.0033,0.9078,3133.833
HIGHLAND PARK ISD,-0.1352,52666.4,0.0327,0.5666,412.8333
HIGHLAND SCHOOL DISTRICT,0.465,66999.53,0.0115,0.968,118.3333
HIGHLAND SCHOOL DISTRICT,0.0314,43124.37,0.0047,0.9677,752.8333
HIGHLAND SCHOOL DISTRICT,-0.7432,33847.05,0.003,0.2972,546.8333
HIGHLANDS,-0.2484,38878.54,0.1692,0.4893,5570.833
HIGHLANDS SD,0.3189,41183.97,0.0855,0.8643,1180
HIGHLINE SCHOOL DISTRICT,-0.5567,50568.66,0.1164,0.2873,7894.333
HIGHMORE-HARROLD 34-2,0.0498,62249.85,0,0.8153,133
HIGLEY UNIFIED SCHOOL DISTRICT,0.6427,82981.1,0.0553,0.6905,4819.833
HILBERT SCHOOL DISTRICT,0.9091,61687.39,0.0188,0.8673,173.5
HILL CITY PUBLIC SCHOOL DISTRICT,0.4638,31499.7,0.0014,0.9557,112.1667
HILLCREST SCHOOL DISTRICT,-0.563,37499.5,0,0.9889,183.5
HILLDALE,-0.0834,65571.05,0.028,0.4458,809.1667
HILLIARD CITY,1.3586,84999.59,0.0543,0.7786,7089.333
HILLMAN COMMUNITY SCHOOLS,-0.494,44776.82,0.0007,0.9836,248.1667
HILLS-BEAVER CREEK SCHOOL DISTRICT,1.1541,62249.85,0.0067,0.9568,154.1667
HILLSBORO 9,0.3324,49999,0.015,0.8492,187.5
HILLSBORO CITY,-0.1163,45699.86,0.0211,0.9067,1238.333
HILLSBORO CUSD 3,-0.3259,48610.39,0.0138,0.9554,797.3333
HILLSBORO DEERING COOP SCHOOL DISTRICT,-0.1379,64944.11,0.0127,0.9194,578.5
HILLSBORO ISD,-0.3459,34472.79,0.1554,0.267,824.1667
HILLSBORO R-III,0.434,69658.45,0.0093,0.9686,1638.5
HILLSBORO SCHOOL DISTRICT,0.707,59165.75,0.0154,0.9369,227.6667
HILLSBORO SD 1J,-0.2279,65342.11,0.0225,0.5129,9472.833
HILLSBOROUGH,0.0306,53564.66,0.2147,0.3869,90506.67
HILLSBOROUGH CITY ELEMENTARY,3.0342,226335.9,0.0018,0.6714,1047.167
HILLSBOROUGH TOWNSHIP,2.0061,122107.3,0.0503,0.7093,3308.5
HILLSDALE,1.7528,146322.7,0.0095,0.8544,942.6667
HILLSDALE COMMUNITY SCHOOLS,-0.6988,45588.12,0.0188,0.9381,884.8333
HILLSDALE LOCAL,0.5372,61941.05,0.0049,0.9757,479.5
HILLSIDE SD 93,-0.4824,54166.25,0.4989,0.0537,278.6667
HILLSIDE TOWNSHIP,-0.1844,64326.64,0.6852,0.094,1308.167
HILMAR UNIFIED,-0.9952,60555.52,0.0067,0.615,1028.333
HILTON CENTRAL SCHOOL DISTRICT,0.7726,76260.45,0.0146,0.9195,2030.833
HINCKLEY BIG ROCK CUSD 429,1.1289,80833.1,0.0044,0.8976,333
HINCKLEY-FINLAYSON SCHOOL DISTRICT,-0.2282,41999.6,0.0291,0.7748,454
HINDS CO SCHOOL DIST,-1.0729,49785.63,0.7348,0.2515,3025.167
HINESBURG SCHOOL DISTRICT,1.7608,87499.51,0.0059,0.9483,301.6667
HINGHAM,2.7532,148076,0.0114,0.9313,1972.667
HINSDALE CCSD 181,2.8464,214873.6,0.0114,0.8426,2797.667
HINSDALE CENTRAL SCHOOL DISTRICT,-0.4023,53666.3,0.0136,0.9613,187.6667
HINSDALE SCHOOL DISTRICT,0.5799,48332.67,0.009,0.9249,256.1667
HINTON,-0.1494,44641.93,0.0137,0.6918,279.6667
HINTON COMM SCHOOL DISTRICT,0.3301,86332.88,0.0063,0.9631,320.3333
HITCHCOCK CO UNIFIED SCH SYSTM,0.1405,45166.63,0.0052,0.9725,117.5
HITCHCOCK ISD,-1.7102,29020.94,0.4027,0.281,692.1667
HITCHCOCK TULARE SCHOOL DISTRICT 56-6,-0.2183,58499.15,0.0013,0.9924,106.3333
HO-HO-KUS,2.6855,182777.1,0.0012,0.8733,430
HOBART,-0.2654,44749.05,0.0945,0.6306,351.5
HOBBS MUNICIPAL SCHOOLS,-1.5432,43851.27,0.0521,0.2989,3990.667
HOBOKEN,-0.0547,34430.93,0.1309,0.3189,1030.167
HOCKINSON SCHOOL DISTRICT,1.0429,96211.27,0.006,0.9103,842.1667
HOEHNE REORGANIZED SCHOOL DISTRICT NO. 3,0.2287,62249.85,0.001,0.5352,153.5
HOISINGTON,0.8209,70874.27,0.0164,0.9016,296.6667
HOKE COUNTY SCHOOLS,-0.6006,47735.3,0.3976,0.2736,3725.833
HOLBROOK,1.0534,78437.36,0.1384,0.7161,615.8333
HOLBROOK UNIFIED DISTRICT,-0.9661,40769.08,0.014,0.2282,861.6667
HOLCOMB,0.4089,56544.8,0.0057,0.6112,450.5
HOLCOMB R-III,0.0472,41499.7,0.0067,0.8764,268.8333
HOLDEN R-III,0.0359,55124.49,0.0146,0.9529,643.8333
HOLDENVILLE,-1.478,42499.5,0.0287,0.5715,469.6667
HOLDINGFORD PUBLIC SCHOOL DISTRICT,1.215,66499.57,0.0007,0.9872,474
HOLDREGE PUBLIC SCHOOLS,1.0283,69124.39,0.003,0.9095,521.3333
HOLGATE LOCAL,0.3057,58453.7,0,0.8885,218.1667
HOLLAND,1.2533,84317.81,0.0052,0.9226,132.3333
HOLLAND CENTRAL SCHOOL DISTRICT,0.6173,88787.33,0.0077,0.9799,437.3333
HOLLAND CITY SCHOOL DISTRICT,-0.2397,49672.98,0.0618,0.4728,2409.167
HOLLAND ISD,0.4809,60749.95,0.0421,0.6583,283.3333
HOLLAND PATENT CENTRAL SCHOOL DISTRICT,0.2454,84860.71,0.0014,0.9697,692.1667
HOLLAND TOWNSHIP,1.2379,98460.6,0.0049,0.9271,435
HOLLANDALE SCHOOL DIST,-2.33,20908.91,0.9864,0.0101,322.6667
HOLLEY CENTRAL SCHOOL DISTRICT,-0.3417,60524.96,0.0235,0.9069,533.5
HOLLIDAY ISD,0.397,86911.29,0.0086,0.923,407.6667
HOLLIDAYSBURG AREA SD,1.1722,65908.7,0.01,0.9605,1593.667
HOLLIS,-0.469,29999,0.132,0.4196,217.5
HOLLIS SCHOOL DISTRICT,2.204,130262.9,0.0085,0.9358,412.1667
HOLLIS/BROOKLINE COOP SCHOOL DISTRICT,1.5269,133020.5,0.0058,0.9465,432.5
HOLLISTER,-1.3454,66273.62,0.0072,0.2071,3711.833
HOLLISTER R-V,0.3308,34199.16,0.0187,0.8904,600.3333
HOLLISTON,2.491,136718.3,0.0071,0.9124,1306.333
HOLLOW ROCK-BRUCETON SCH DIST,-0.753,45624.88,0.0819,0.8918,299.5
HOLLY AREA SCHOOL DISTRICT,0.1816,66695.98,0.0289,0.9034,2099.833
HOLLY CREEK,-0.3932,55499.45,0,0.5542,120.5
HOLLY SCHOOL DISTRICT NO. RE-3,-0.157,25624.88,0,0.478,128
HOLLY SPRINGS SCHOOL DIST,-1.7441,23799.24,0.9628,0.0198,682
HOLMDEL TOWNSHIP,2.3424,170384.2,0.0077,0.7309,1469.833
HOLMEN SCHOOL DISTRICT,0.5778,70297.82,0.0186,0.879,1656.667
HOLMES,-0.1631,50795.38,0.0331,0.9137,1508
HOLMES CO SCHOOL DIST,-2.4171,22555.04,0.9954,0.0029,1400
HOLT PUBLIC SCHOOLS,0.0476,65472.61,0.0957,0.7179,2672.833
HOLTON,0.9669,59999,0.0162,0.8661,463.3333
HOLTON PUBLIC SCHOOLS,-1.4842,56749.32,0.0016,0.9156,423.8333
HOLTVILLE UNIFIED,-1.7034,34856.17,0.0052,0.121,730.5
HOLYOKE,-1.522,26521.43,0.0317,0.1455,2907.5
HOLYOKE SCHOOL DISTRICT NO. RE-1J,0.3351,54499.55,0.0019,0.5717,259.1667
HOMEDALE JOINT DISTRICT,-0.0791,51761.73,0.0017,0.6017,574
HOMER CCSD 33C,0.8744,96845.97,0.0098,0.8621,2378.5
HOMER CENTRAL SCHOOL DISTRICT,0.0792,68683.63,0.01,0.9731,981.8333
HOMER COMMUNITY SCHOOLS,-0.8184,62099.86,0.0077,0.8541,176
HOMER COMMUNITY SCHOOLS,-0.2391,47499.5,0.0045,0.9547,486.5
HOMER-CENTER SD,0.1524,57230.05,0.0132,0.9573,404.5
HOMEWOOD CITY,1.3129,80514.48,0.2661,0.5964,1673.167
HOMEWOOD SD 153,0.4364,88982.49,0.4498,0.3784,1336.167
HOMINY,-1.1749,28957.54,0.0397,0.4304,264.5
HONDO ISD,-0.6483,49999,0.0066,0.3117,1006.167
HONEOYE CENTRAL SCHOOL DISTRICT,0.6279,50199.98,0.0097,0.9769,298.3333
HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,1.5252,97238.7,0.0062,0.9538,1124
HONEY GROVE ISD,-0.656,33332.67,0.1249,0.6846,255.6667
HOOD CANAL SCHOOL DISTRICT,-1.5149,62399.84,0.0049,0.5123,200.5
HOOD RIVER COUNTY SD,0.0288,50102.03,0.0073,0.4965,1881.667
HOOKER,-0.866,38749.25,0.0051,0.4954,272.8333
HOOKS ISD,-0.3344,43749.25,0.1681,0.6965,380.5
HOOKSETT SCHOOL DISTRICT,1.6179,90350.26,0.0176,0.8987,994
HOOPESTON AREA CUSD 11,-0.443,39276.93,0.0052,0.7892,575.1667
HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,-0.1334,78392.72,0.0056,0.9791,512.8333
HOOSICK FALLS CENTRAL SCHOOL DISTRICT,-0.0467,55999.4,0.0123,0.9524,560.3333
HOOVER CITY,0.6883,91102.96,0.2327,0.6363,6035.667
HOOVER-SCHRUM MEMORIAL SD 157,-1.6472,44544.55,0.76,0.0302,596.3333
HOPATCONG BOROUGH,0.3507,100919.5,0.0433,0.7771,862
HOPE ELEMENTARY,1.12,59499.05,0.014,0.628,571.1667
HOPE ELEMENTARY,-2.2427,38124.37,0,0.4759,114.1667
HOPE SCHOOL DEPARTMENT,1.9347,62999.8,0.0038,0.9697,115.6667
HOPE SCHOOL DISTRICT,-1.6949,34374.13,0.4595,0.2468,1147.667
HOPE TOWNSHIP,1.0159,74999,0.0089,0.8891,131.8333
HOPEDALE,1.9345,120832.5,0.0061,0.9304,569.3333
HOPEWELL AREA SD,0.6115,73729.85,0.0237,0.9436,1047.167
HOPEWELL CITY PBLC SCHS,-0.7833,32844.26,0.5321,0.3467,1824
HOPEWELL TOWNSHIP,0.1541,76093.7,0.0649,0.7743,357.8333
HOPEWELL VALLEY REGIONAL,2.3183,157981.5,0.0224,0.8375,1809.333
HOPEWELL-LOUDON LOCAL,0.8027,57856.36,0.0032,0.9183,414.1667
HOPKINS COUNTY,0.068,43109.13,0.1004,0.834,3178
HOPKINS PUBLIC SCHOOL DISTRICT,1.0362,88059.18,0.1971,0.6242,3289.5
HOPKINS PUBLIC SCHOOLS,0.6405,57902.44,0.0064,0.9538,700.6667
HOPKINTON,2.7689,165362,0.0062,0.9107,1628.167
HOPKINTON SCHOOL DISTRICT,1.3006,106249.8,0.0091,0.9532,426.1667
HOQUIAM SCHOOL DISTRICT,-0.9932,41785.36,0.0167,0.7456,784.5
HORATIO SCHOOL DISTRICT,-0.4109,50599.94,0.018,0.7059,388.1667
HORICON SCHOOL DISTRICT,0.1019,68734.71,0.0047,0.9013,315.6667
HORNELL CITY SCHOOL DISTRICT,-0.5759,47499.5,0.0494,0.9143,804
HORRY 01,0.1462,44374.13,0.2115,0.6619,17582.83
HORSEHEADS CENTRAL SCHOOL DISTRICT,0.4352,74706.81,0.0203,0.9137,1938.667
HORSESHOE BEND SCHOOL DISTRICT,-0.0727,57777,0.0081,0.8996,137.3333
HORTONVILLE SCHOOL DISTRICT,0.8892,86499.54,0.0042,0.9332,1526.667
HOT SPRINGS COUNTY SCHOOL DISTRICT #1,0.2665,62749.81,0.0065,0.9342,308.8333
HOT SPRINGS SCHOOL DISTRICT,-0.908,29362.76,0.4013,0.4347,1698.5
HOT SPRINGS SCHOOL DISTRICT 23-2,0.2756,77272.63,0.0211,0.8102,379.8333
HOUGHTON LAKE COMMUNITY SCHOOLS,-0.4627,32166.23,0.0158,0.9524,667.5
HOUGHTON-PORTAGE TOWNSHIP SCHOOLS,0.8762,44999,0.009,0.9176,592
HOUSTON  SCHOOL DIST,-1.2513,43499.3,0.4337,0.479,858.3333
HOUSTON COUNTY,0.2952,62298.95,0.356,0.5046,12165.33
HOUSTON COUNTY,-0.376,48181.18,0.163,0.7991,3032
HOUSTON COUNTY SCHOOL DISTRICT,-0.6016,42777.22,0.0357,0.9206,662.6667
HOUSTON ISD,-0.489,35505.13,0.2646,0.0749,95920.67
HOUSTON PUBLIC SCHOOL DISTRICT,0.3394,58499.15,0.038,0.905,882.3333
HOUSTON R-I,0.1792,41856.77,0.0137,0.957,438.8333
HOWARD COUNTY PUBLIC SCHOOLS,1.8115,117852.4,0.2163,0.4935,22850.83
HOWARD LAKE-WAVERLY-WINSTED,0.8722,68282.05,0.0064,0.9346,435.3333
HOWARD SCHOOL DISTRICT 48-3,0.7492,61071.36,0.008,0.959,162.3333
HOWARD-SUAMICO SCHOOL DISTRICT,1.3013,83691.7,0.0242,0.9186,2455.333
HOWARD-WINNESHIEK COMM SCHOOL DISTRICT,0.0631,59784.73,0.0024,0.9413,553.8333
HOWARDS GROVE SCHOOL DISTRICT,0.6089,86799.53,0.0077,0.9608,390
HOWE,-1.1213,56713.61,0.0071,0.5976,194.1667
HOWE ISD,0.2665,78624.86,0.0087,0.8552,457.3333
HOWELL PUBLIC SCHOOLS,0.8155,84626.63,0.0065,0.9427,3787.5
HOWELL TOWNSHIP,1.4158,105274.4,0.041,0.842,4258.333
HOWELL VALLEY R-I,0.3638,40833.16,0.0012,0.9759,130.3333
HOWLAND LOCAL,1.1289,60432.66,0.0522,0.8755,1394.667
HOXIE COMMUNITY SCHOOLS,0.146,33749.25,0.0073,0.9198,139.1667
HOXIE SCHOOL DISTRICT,-0.2416,37135.94,0.0058,0.9716,437.6667
HUBBARD EXEMPTED VILLAGE,0.9301,60263.14,0.036,0.9226,919.6667
HUBBARD ISD,-0.2913,56499.36,0.2324,0.6209,162.8333
HUBBARD-RADCLIFFE COMM SCHOOL DISTRICT,-0.1894,64606.84,0.0093,0.9196,271.8333
HUBER HEIGHTS CITY,0.0802,65588.8,0.1764,0.6498,2823.667
HUCKABAY ISD,-0.5895,61124.93,0,0.7929,85
HUDSON,1.1355,91175.83,0.0082,0.8976,1348.667
HUDSON AREA SCHOOLS,-0.4117,50384.58,0.0193,0.8984,428.3333
HUDSON CITY,2.3063,132302.3,0.0113,0.8986,2188.333
HUDSON CITY SCHOOL DISTRICT,-1.3368,52599.74,0.2933,0.4827,846.6667
HUDSON COMM SCHOOL DISTRICT,0.4953,73234.41,0.0145,0.9472,311.6667
HUDSON FALLS CENTRAL SCHOOL DISTRICT,-0.3346,56666,0.0204,0.9465,1022.167
HUDSON ISD,0.8595,60872.04,0.0527,0.7113,1224.667
HUDSON SCHOOL DISTRICT,1.3044,101308.1,0.0161,0.9061,2529.333
HUDSON SCHOOL DISTRICT,0.8006,85040.59,0.0142,0.8926,1860.667
HUDSONVILLE PUBLIC SCHOOL DISTRICT,1.3561,76673.16,0.0162,0.8963,2704.5
HUENEME ELEMENTARY,-1.8878,49083.69,0.0221,0.0728,5184
HUERFANO SCHOOL DISTRICT RE-1,-0.3204,21606.82,0.0171,0.2897,258
HUFFMAN ISD,-0.0914,82499.7,0.0217,0.8034,1467.5
HUGHES SCHOOL DISTRICT,-2.2771,19721.28,0.8206,0.1714,173.1667
HUGHES SPRINGS ISD,0.1088,26249.75,0.1355,0.7475,507.6667
HUGHES-ELIZABETH LAKES UNION ELEMENTARY,0.063,93749.24,0.0087,0.7493,216.6667
HUGHSON UNIFIED,-1.0231,49641.93,0.0022,0.4383,921.1667
HUGO,-1.0256,33392.18,0.2632,0.4121,452.1667
HUGOTON PUBLIC SCHOOLS,-0.239,77849.88,0.0063,0.5258,451
HULBERT,-1.4706,34165.83,0.0091,0.3225,256.5
HULL,1.0157,92646.35,0.0118,0.9524,505.1667
HULL-DAISETTA ISD,-0.9801,52882.07,0.1516,0.7624,216
HUMANSVILLE R-IV,-0.4971,28443.76,0.0011,0.968,158.1667
HUMBLE ISD,0.4517,91358.99,0.1796,0.4816,16247.83
HUMBOLDT,0.6215,58362.8,0.0128,0.9316,237.1667
HUMBOLDT CITY SCHOOL DISTRICT,-1.4175,29999,0.741,0.2222,535.5
HUMBOLDT COMM SCHOOL DISTRICT,1.0014,65076.59,0.011,0.9016,559.5
HUMBOLDT COUNTY SCHOOL DISTRICT,-0.6597,72041.45,0.005,0.5898,1574.167
HUMBOLDT TABLE ROCK STEINAUER,-0.3718,51818,0.0071,0.9475,167
HUMBOLDT UNIFIED DISTRICT,0.0499,50126.57,0.0121,0.6942,3514.167
HUMPHREY PUBLIC SCHOOLS,0.7477,58499.15,0.0046,0.9732,112.3333
HUMPHREYS CO SCHOOL DIST,-2.053,20769.08,0.9662,0.0143,792.6667
HUMPHREYS COUNTY SCHOOL DIST,-0.4981,46775.96,0.0336,0.9397,1358.833
HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,0.1222,44811.54,0.0009,0.9018,165.3333
HUNTINGDON AREA SD,0.2288,52360.88,0.014,0.9682,985.8333
HUNTINGDON SPECIAL SCHOOL DIST,-0.0061,44374.13,0.1859,0.7962,550.3333
HUNTINGTON BEACH CITY ELEMENTARY,0.8763,108788.7,0.0062,0.6336,4690.833
HUNTINGTON CO COM SCH CORP,0.603,55061.22,0.003,0.9384,2649.5
HUNTINGTON ISD,-0.0701,46382.08,0.0223,0.9047,786.3333
HUNTINGTON LOCAL,-0.1094,50333.3,0.0047,0.9702,599.6667
HUNTINGTON SCHOOL DISTRICT,1.6673,83333,0.0078,0.9743,50.3333
HUNTINGTON UNION FREE SCHOOL DISTRICT,0.5392,95832.51,0.1029,0.5235,2031
HUNTSVILLE CITY,-0.5237,51279.63,0.4322,0.4616,10358.83
HUNTSVILLE ISD,-0.3675,40297.56,0.2473,0.4499,2811
HUNTSVILLE SCHOOL DISTRICT,-0.0296,51166.55,0.0013,0.8925,1078.5
HURLEY R-I,-0.2378,57999.2,0,0.9901,123.8333
